DASP Algorithm, Image Transform, ACC, TPR, FPR, TNR, FNR, PR, FSCORE
cmasp, array, 46.1, 0.33, 0.33, 0.67, 0.67, 0.61, 0.43
cmasp, edgearray, 52.6, 0.27, 0.07, 0.94, 0.73, 0.87, 0.41
cmasp, rarray, 56, 0.41, 0.2, 0.8, 0.59, 0.76, 0.53
fasp, array, 58, 0.38, 0.1, 0.9, 0.62, 0.85, 0.52
haspf, array, 54.8, 0.28, 0.03, 0.97, 0.72, 0.93, 0.43
haspf, edgearray, 57.9, 0.38, 0.11, 0.89, 0.62, 0.85, 0.52
haspf, rarray, 50.8, 0.31, 0.18, 0.83, 0.69, 0.73, 0.43
haspd, array, 56.4, 0.35, 0.1, 0.9, 0.65, 0.85, 0.49
maspl, array, 61.5, 0.41, 0.07, 0.93, 0.59, 0.91, 0.57
maspl, scatter, 56.3, 0.34, 0.08, 0.92, 0.66, 0.86, 0.49
maspl, edgearray, 57.8, 0.35, 0.07, 0.93, 0.65, 0.89, 0.5
maspl, rarray, 61.3, 0.4, 0.05, 0.95, 0.6, 0.92, 0.56
masph, array, 58.3, 0.37, 0.08, 0.92, 0.63, 0.88, 0.52
masph, scatter, 56.4, 0.35, 0.1, 0.9, 0.65, 0.84, 0.5
masph, edgearray, 52.8, 0.3, 0.11, 0.89, 0.7, 0.81, 0.43
masph, rarray, 49, 0.27, 0.16, 0.84, 0.73, 0.72, 0.39
scap, array, 55.8, 0.37, 0.15, 0.85, 0.63, 0.8, 0.5
Combined, NA, 66.7, 0.47, 0.02, 0.98, 0.53, 0.97, 0.63
