DASP Algorithm, Image Transform, ACC, TPR, FPR, TNR, FNR, PR, FSCORE
cmasp, array, 53.5, 0.29, 0.09, 0.91, 0.71, 0.84, 0.44
cmasp, edgearray, 49.4, 0.22, 0.07, 0.93, 0.78, 0.83, 0.34
cmasp, rarray, 49.2, 0.24, 0.12, 0.88, 0.76, 0.76, 0.37
fasp, array, 58.1, 0.37, 0.09, 0.91, 0.63, 0.87, 0.52
haspf, array, 54.5, 0.41, 0.24, 0.76, 0.59, 0.73, 0.52
haspf, edgearray, 56.8, 0.41, 0.18, 0.82, 0.59, 0.78, 0.54
haspf, rarray, 55.3, 0.4, 0.21, 0.79, 0.6, 0.75, 0.52
haspd, array, 54.9, 0.38, 0.19, 0.81, 0.62, 0.76, 0.51
maspl, array, 51.7, 0.24, 0.05, 0.95, 0.76, 0.89, 0.38
masph, array, 50.9, 0.2, 0, 1, 0.8, 1, 0.33
masph, edgearray, 52, 0.39, 0.27, 0.73, 0.62, 0.69, 0.5
masph, rarray, 52.3, 0.38, 0.25, 0.75, 0.62, 0.7, 0.49
scap, array, 52.4, 0.38, 0.25, 0.75, 0.62, 0.71, 0.49
scap, vec, 48.4, 0.25, 0.14, 0.86, 0.75, 0.73, 0.37
Combined, NA,54.5, 0.27, 0.02, 0.98, 0.73, 0.96, 0.42
